,y,x,osmid,lon,lat,ref,highway,geometry
0,22.2503365,114.1699636,26411640,114.1699636,22.2503365,,,POINT (114.1699636 22.2503365)
1,22.2505594,114.1710523,26411641,114.1710523,22.2505594,,,POINT (114.1710523 22.2505594)
2,22.2712495,114.1495679,26412219,114.1495679,22.2712495,,,POINT (114.1495679 22.2712495)
3,22.2671122,114.1514696,26412251,114.1514696,22.2671122,,,POINT (114.1514696 22.2671122)
4,22.2947802,114.1723211,30747332,114.1723211,22.2947802,,,POINT (114.1723211 22.2947802)
5,22.3102907,114.1710926,33004487,114.1710926,22.3102907,,,POINT (114.1710926 22.3102907)
6,22.3129765,114.1707174,33004488,114.1707174,22.3129765,,,POINT (114.1707174 22.3129765)
7,22.2988324,114.16936,33004530,114.16936,22.2988324,,,POINT (114.16936 22.2988324)
8,22.3017739,114.1679559,33004534,114.1679559,22.3017739,,,POINT (114.1679559 22.3017739)
9,22.2977634,114.1784306,33004677,114.1784306,22.2977634,,,POINT (114.1784306 22.2977634)
10,22.3030252,114.1680149,33476495,114.1680149,22.3030252,,,POINT (114.1680149 22.3030252)
11,22.304498,114.1675837,33476497,114.1675837,22.304498,,,POINT (114.1675837 22.304498)
12,22.3058563,114.1668472,33476500,114.1668472,22.3058563,,,POINT (114.1668472 22.3058563)
13,22.3085728,114.1676752,33476502,114.1676752,22.3085728,,,POINT (114.1676752 22.3085728)
14,22.2954297,114.175298,33476508,114.175298,22.2954297,,,POINT (114.175298 22.2954297)
15,22.2952856,114.1749663,33476510,114.1749663,22.2952856,,,POINT (114.1749663 22.2952856)
16,22.3090741,114.1685479,34971938,114.1685479,22.3090741,6D,motorway_junction,POINT (114.1685479 22.3090741)
17,22.3426251,114.1594836,50060656,114.1594836,22.3426251,,,POINT (114.1594836 22.3426251)
18,22.3438394,114.1533557,50060666,114.1533557,22.3438394,,,POINT (114.1533557 22.3438394)
19,22.2819475,114.1609808,165996965,114.1609808,22.2819475,,,POINT (114.1609808 22.2819475)
20,22.281177,114.1634578,165997300,114.1634578,22.281177,,,POINT (114.1634578 22.281177)
21,22.278107,114.1663182,165997863,114.1663182,22.278107,,,POINT (114.1663182 22.278107)
22,22.2780496,114.166963,165997979,114.166963,22.2780496,,,POINT (114.166963 22.2780496)
23,22.2778307,114.1747606,165999009,114.1747606,22.2778307,,,POINT (114.1747606 22.2778307)
24,22.2796962,114.1630554,166091633,114.1630554,22.2796962,,,POINT (114.1630554 22.2796962)
25,22.2798741,114.1608871,166091692,114.1608871,22.2798741,,,POINT (114.1608871 22.2798741)
26,22.290348,114.14072,232200869,114.14072,22.290348,,,POINT (114.14072 22.290348)
27,22.274465,114.1753313,232216521,114.1753313,22.274465,,,POINT (114.1753313 22.274465)
28,22.2751103,114.1779126,232221477,114.1779126,22.2751103,,,POINT (114.1779126 22.2751103)
29,22.2744021,114.1775284,232221479,114.1775284,22.2744021,,,POINT (114.1775284 22.2744021)
30,22.2661771,114.1842752,232221586,114.1842752,22.2661771,,,POINT (114.1842752 22.2661771)
31,22.2660794,114.1843803,232221594,114.1843803,22.2660794,,,POINT (114.1843803 22.2660794)
32,22.2829877,114.158535,235220025,114.158535,22.2829877,,,POINT (114.158535 22.2829877)
33,22.2574438,114.2281867,239978228,114.2281867,22.2574438,,,POINT (114.2281867 22.2574438)
